AGE,female,married,educ_cat,faminc_mid,metro_binary,race_cat,us_citizen,has_children,insured,OCC,IND,INCWAGE,FIRMSIZE,NCHILD,YEAR,STATEFIP,worker_cat,employed
25,1,0,4,87500,1,White,1,0,1,2545,7870,44000,9,0,2020,25,Private for-profit,1
27,1,0,5,55000,1,Asian,1,0,1,800,7280,150000,9,0,2020,25,Private for-profit,1
27,0,0,4,125000,1,Asian,1,0,1,2205,7870,59000,9,0,2020,25,Private for-profit,1
27,1,0,4,125000,1,Asian,1,0,1,2205,7870,45000,9,0,2020,25,Private for-profit,1
24,1,0,4,125000,1,Black,1,0,1,5740,8090,35000,8,0,2020,25,Private for-profit,1
29,1,1,5,87500,1,White,1,1,1,5120,2870,36000,7,2,2020,25,Private for-profit,1
28,0,0,4,67500,1,Asian,1,1,1,7200,4670,75000,9,3,2020,25,Private for-profit,1
28,1,0,4,37500,1,White,1,0,1,3630,8990,0,1,0,2020,25,Part-time,1
22,0,0,4,200000,1,White,1,0,1,2825,6670,110000,5,0,2020,25,Private for-profit,1
25,1,0,4,45000,1,Black,1,0,1,2310,7860,24000,7,0,2020,25,Private for-profit,1
29,0,0,4,55000,1,White,1,0,1,5120,8191,56000,7,0,2020,25,Private for-profit,1
24,1,0,4,125000,1,White,1,0,1,1970,8191,50000,8,0,2020,25,Private for-profit,1
24,1,0,5,67500,1,White,1,0,1,2310,7860,35000,2,0,2020,25,Government,1
25,1,0,4,67500,1,White,1,0,1,3255,8170,70000,9,0,2020,25,Private for-profit,1
26,1,0,5,67500,1,White,1,0,1,3255,8170,65000,9,0,2020,25,Part-time,1
29,1,1,4,87500,1,Black,1,1,1,2145,9370,42000,9,2,2020,25,Government,1
26,0,0,4,125000,1,White,1,0,1,5600,4560,32000,2,0,2020,25,Private for-profit,1
25,0,0,4,32500,1,White,1,0,1,5160,6870,32000,7,0,2020,25,Private for-profit,1
28,1,0,4,200000,1,White,1,0,1,3255,8191,85000,9,0,2020,25,Private for-profit,1
25,0,0,4,87500,1,Asian,1,0,1,110,4170,65000,9,0,2020,25,Private for-profit,1
30,1,0,4,125000,1,White,1,0,1,1108,7870,50000,9,0,2020,25,Government,1
25,1,0,5,2500,1,Asian,0,0,1,4110,8680,3000,1,0,2020,25,Unemployed,0
23,1,0,4,200000,1,White,1,0,1,5610,5381,30000,2,0,2020,25,Private for-profit,1
22,0,0,4,200000,1,White,1,0,1,9005,6380,35000,9,0,2020,25,Part-time,1
27,1,0,4,67500,1,White,1,0,1,4700,5180,25000,2,0,2020,25,Private for-profit,1
22,0,0,4,45000,1,White,1,0,1,2320,7860,18050,7,0,2020,25,Government,1
30,1,1,4,17500,1,White,1,1,1,4110,8680,30800,2,1,2020,25,Part-time,1
23,1,0,4,125000,1,Other,1,0,1,3255,8090,22000,9,0,2020,25,Private for-profit,1
25,0,0,4,200000,1,White,1,0,1,710,7890,40000,8,0,2020,25,Private for-profit,1
